cloud_height,cloud_amount,temperature,temperature_dew,pressure,pressure_tendency,pressure_tendency_value,temp_prev,dew_prev,w_x,w_y,w_x_prev,w_y_prev,day_sin,day_cos,year_sin,year_cos,code
9,2,29.6,15.3,991.8,2,0.1,25.2,16.0,2.052120859954013,5.63815572471545,1.3680805733026753,3.7587704831436333,0.7071067811875813,-0.7071067811855137,-0.480160215232286,-0.877180806737177,0
5,8,-6.6,-11.2,992.5,2,0.6,-6.0,-10.8,1.3680805733026726,-3.758770483143634,2.052120859954009,-5.6381557247154515,-1.1335728416293394e-11,1.0,0.5892907842112975,0.8079210181964781,0
4,8,6.2,5.3,1009.0,2,1.7,6.4,5.5,-2.0521208599540124,5.638155724715451,-2.0521208599540124,5.638155724715451,1.0,1.2168359246705066e-11,-0.8724777504594686,0.4886538395973015,0
9,0,2.4,1.6,1002.6,2,0.2,3.6,2.6,0.0,0.0,0.0,0.0,-3.3326050568745662e-12,1.0,-0.6756674922611101,0.737206511027665,3
4,8,-0.3,-3.7,997.4,7,1.0,1.0,-4.3,-0.6840402866513374,1.8793852415718169,2.4492935982947064e-16,4.0,-1.0945734025536125e-11,1.0,-0.6597569687194019,0.7514790364515741,0
9,3,23.0,16.1,992.8,8,0.2,23.8,15.5,0.6840402866513376,1.8793852415718166,1.2855752193730787,1.532088886237956,-9.485427669450107e-12,1.0,0.1287271450353109,-0.9916800502838897,0
9,0,15.9,7.6,992.6,7,0.2,17.7,7.8,0.0,0.0,0.0,0.0,0.7071067811843422,0.7071067811887528,0.8596123526075132,-0.510946771439625,0
5,8,2.0,0.4,1007.8,8,0.6,1.2,-0.2,-0.6840402866513374,1.8793852415718169,0.0,0.0,2.5416623550654675e-12,-1.0,0.05386162237991695,0.9985484092594626,0
9,0,9.8,8.0,998.2,2,0.1,10.3,7.6,0.0,0.0,0.0,0.0,0.7071067811828384,0.7071067811902566,-0.9698498259258116,0.2437033343056122,0
9,0,20.1,12.9,992.0,2,0.6,21.3,13.5,0.0,0.0,0.0,0.0,0.7071067811784308,0.7071067811946642,-0.6723475075292553,-0.7402356578274232,0
5,7,24.4,13.9,987.3,7,0.7,23.8,15.5,1.2855752193730787,1.532088886237956,1.2246467991473532e-16,2.0,-0.7071067811860741,-0.707106781187021,0.2238100455632677,-0.9746327839268326,0
6,6,28.0,12.2,984.3,7,0.8,28.8,12.0,-3.6739403974420594e-16,-2.0,-3.6739403974420594e-16,-2.0,4.045150556157863e-12,-1.0,-0.08999910704515665,-0.9959418460588321,0
5,8,1.6,1.1,980.2,7,0.5,2.8,1.2,2.4492935982947064e-16,4.0,3.6739403974420594e-16,6.0,0.7071067811829799,0.7071067811901152,0.9644196598736403,0.2643760950789841,0
9,2,14.0,2.9,990.5,2,0.4,12.3,3.0,1.8793852415718169,0.6840402866513374,1.8793852415718169,0.6840402866513374,0.7071067811794066,0.7071067811936884,0.3556432252215963,-0.9346217932158338,0
10,9,5.2,5.2,992.6,2,0.9,4.7,4.7,-2.0,2.4492935982947064e-16,-1.8793852415718169,-0.6840402866513373,-1.0,-1.0395459891451711e-11,-0.2699606152375084,0.9628713653549917,0
4,8,-1.5,-2.0,994.9,7,0.5,-1.5,-2.3,3.6739403974420594e-16,6.0,3.6739403974420594e-16,6.0,-0.7071067811931551,0.70710678117994,-0.29639858805359964,0.9550643313410005,3
6,3,29.0,11.8,992.4,7,0.9,28.2,13.8,-3.0641777724759116,2.571150438746158,-3.0641777724759116,2.571150438746158,3.0160288139637528e-12,-1.0,0.4051133750125998,-0.9142664564479551,0
5,6,-1.9,-5.0,988.6,7,1.2,-0.9,-7.0,-2.571150438746158,-3.0641777724759116,-2.571150438746158,-3.0641777724759116,0.7071067811864934,0.7071067811866016,0.9121150916858828,0.40993421364757243,0
9,0,13.3,8.1,989.4,8,0.4,13.9,3.8,0.0,0.0,-1.0000000000000009,-1.7320508075688767,-2.823023240456857e-12,1.0,0.9156332469893952,-0.40201462287789624,0
