2017-09-01;9;91
2017-09-01;12;91
2017-09-01;12;91
2017-09-08;12;91
2017-09-08;12;40
2017-09-08;12;91
2017-09-08;15;91
2017-09-22;3;11
2017-09-22;6;11
2017-09-22;6;11
2017-09-23;3;11
2017-09-23;6;11
2017-09-24;6;11
2017-09-24;6;11
2017-09-25;9;11
2017-09-26;6;11
2017-09-27;6;11
2017-09-28;6;11
2017-10-06;6;11
2017-10-07;9;40
2017-10-07;12;40
2017-10-07;12;40
2017-10-07;15;40
2017-10-09;12;11
2017-10-11;18;40
2017-10-11;21;40
2017-10-12;3;40
2017-10-12;9;40
2017-10-15;9;11
2017-10-15;12;40
2017-10-15;18;11
2017-10-16;6;11
2017-10-17;21;40
2017-10-18;0;40
2017-10-18;6;40
2017-10-19;0;40
2017-10-19;0;40
2017-10-19;0;40
2017-10-19;3;40
2017-10-19;3;40
2017-10-19;3;40
2017-10-19;18;40
2017-10-19;18;40
2017-10-19;18;40
2017-10-19;21;40
2017-10-20;3;40
2017-10-21;18;40
2017-10-21;18;40
2017-10-22;0;40
2017-10-22;0;40
2017-10-22;0;40
2017-10-24;6;11
2017-10-25;9;11
2017-10-25;9;11
2017-10-27;3;40
2017-10-27;3;40
2017-10-27;3;40
2017-10-27;3;40
2017-10-27;3;40
2017-10-28;0;40
2017-10-28;3;40
2017-10-28;3;40
2017-10-28;3;40
2017-10-28;15;40
2017-10-28;18;40
2017-10-30;0;11
2017-10-30;12;11
2017-10-30;18;11
2017-11-01;12;11
2017-11-02;6;11
2017-11-04;0;40
2017-11-04;3;40
2017-11-04;3;40
2017-11-06;9;11
2017-11-07;9;40
2017-11-07;18;40
2017-11-07;21;40
2017-11-09;18;30
2017-11-09;18;30
2017-11-09;21;40
2017-11-10;21;30
2017-11-11;18;40
2017-11-11;21;40
2017-11-12;0;40
2017-11-12;3;40
2017-11-12;3;40
2017-12-02;6;11
2017-12-10;18;11
2017-12-14;3;40
2017-12-15;9;40
2017-12-15;9;40
2017-12-18;12;30
2017-12-18;12;40
2017-12-18;12;40
2017-12-18;12;40
2017-12-20;3;40
2017-12-20;6;40
2017-12-22;6;40
2017-12-25;12;11
2017-12-25;12;40
2017-12-26;6;40
2017-12-26;6;30
2017-12-26;6;40
2017-12-29;6;40
2017-12-29;6;40
2017-12-30;15;30
2017-12-30;18;30
2017-12-30;18;40
2017-12-30;18;40
2018-01-04;3;40
2018-01-04;3;40
2018-01-04;3;40
2018-01-04;3;50
2018-01-04;3;40
2018-01-07;6;40
2018-01-11;3;40
2018-01-16;6;40
2018-01-16;12;40
2018-01-17;0;40
2018-01-17;0;40
2018-01-17;3;40
2018-01-19;12;40
2018-01-19;12;40
2018-01-20;3;40
2018-01-20;6;40
2018-01-20;6;40
2018-01-20;12;40
2018-01-20;12;40
2018-01-20;15;50
2018-01-20;15;40
2018-01-20;15;40
